user,posted date,likes,comments,saves,shares,views
chooseyourglow,7/15/23,6778,51,2856,569,435100
sloanevosen,4/30/24,907,21,349,99,152300
carielizabethh,8/21/23,709,17,474,141,87500
brittneynicolep,4/21/24,67,16,3,1,9200
regulargear,4/7/22,2200,22,522,110,230000
bshuley,6/15/23,1457,16,455,159,198900
annagracee13,12/5/23,320300,588,57800,4849,5300000
a3.co,5/31/23,3434,25,1500,469,347600
tiggsysmart,5/27/23,32100,121,4090,777,641600
alexkhosieyo,9/28/23,8998,60,498,37,195000
tess.shanahan,7/23/23,14800,115,1866,957,329700
thejessfitch,3/19/23,1086,21,774,85,275100
nina_is_lurking,10/4/22,71100,444,18200,4935,1900000
jacindabean,4/23/23,4377,53,1580,507,344100
claudiakossak,4/25/24,582,7,39,8,12900
ainomagdalena,4/10/24,16000,135,956,117,180600
rachel.gentile,10/5/23,675,10,250,52,96800
rachcath34,4/11/24,51,2,2,0,26400
rubencarox,9/13/23,159,12,21,12,29300
chacherrrry,4/8/23,2262,32,954,465,276000
vinisenno,6/26/23,5413,22,649,221,170300
handmadebyhopie,3/15/23,361,6,79,25,82100
cxdydyer,3/9/24,74,0,11,0,6354
conner_wileman,3/31/23,1754,9,228,45,78800
conner_wileman,1/7/23,1706,12,529,76,132600
xomaadison,1/29/24,1230,17,188,82,41500
allen_ple,11/12/23,1297,33,244,71,101700
veryvannesa_,9/21/22,1131,1,146,11,65900
nafizmiah,8/24/22,49400,447,7329,428,1000000
hellotuilaminne,11/20/23,7458,34,1623,286,157500
maggielovesfashion,8/19/22,100100,428,18000,511,1100000
audreylilliann,7/29/23,6338,44,3420,364,518200
shopwithakn,8/31/23,3120,13,479,223,148800
actvs_,11/23/22,12200,89,1465,124,167200
gr4ilzz,1/1/23,1208,29,173,17,40800
saeways,8/10/22,9702,76,695,167,131100
joyperu21,3/5/24,27500,168,3486,999,261500
mariya_reyna,3/9/22,1161,16,277,97,154100
theforumstore,1/7/23,994,5,279,191,139200
saritacuer,10/1/20,165600,715,30300,5658,1600000
xandershotel,3/5/22,219700,552,39900,643,1600000
whatjosefinewears,7/21/21,1625,30,342,96,129300
thomas.pau,10/27/23,1821,18,319,75,56500
blvckhoodieee,6/16/22,60900,121,9580,298,927900
totoxixi,5/4/23,2089,15,338,143,57500
stylny,12/22/22,11200,30,1526,122,199400
treannaross,3/15/23,303,5,109,63,40800
careesekwok,4/12/24,341,8,107,35,250300
eduardo_lav,5/18/23,1948,61,80,12,72100
tyler__moon,12/29/22,2863,15,459,68,119000
mikayla.vallati,9/2/22,18000,101,3854,295,329200
nindaefendy,8/22/23,224,20,45,18,39800
sophia.madalena,10/12/23,1505,5,798,198,179800
joyperu21,3/15/24,41700,245,5162,1803,500400
maya.mae.101,12/29/23,1392,2,116,21,29200
manu_santaella,6/18/22,133600,230,18500,639,1800000
christinaprothro,8/25/22,8096,30,276,295,460900
nakedap.secondbrand,6/21/23,82,5,32,7,20600
stawwrr,3/9/23,128200,149,21900,1010,630400